strategy,family,config_id,params_json,windows,mean_sharpe,mean_pooled_profit_factor,mean_sharpe_delta_all_cells,sharpe_improved_cells,pf_improved_cells,both_improved_cells,majority_windows
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.45839099413041107,0.948543406067786,-0.12744754056250532,1,1,1,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5858385346929165,0.9813204656524297,0.0,0,0,0,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.8097397675978978,1.0445201238256012,0.22390123290498137,5,5,5,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.4348770006377394,0.9334110978123475,-0.15096153405517698,3,4,3,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5660695518186585,0.9658657169155356,-0.019768982874257914,4,4,4,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7922446128571987,1.0276199713660368,0.2064060781642822,7,7,7,1
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.4211200381178575,0.9600975843956081,-0.1647184965750589,3,3,3,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5486023536305433,0.9938164692956555,-0.037236181062372975,2,2,2,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7725035865355248,1.0580075137352427,0.1866650518426084,7,7,7,2
ML Classifier,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.11283603963429618,0.8999143161418554,0.0389483385931276,2,2,2,0
ML Classifier,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.1517843782274238,0.8955098117110499,0.0,0,0,0,0
ML Classifier,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.08704218844547723,0.9060099376235033,0.06474218978194654,4,4,4,0
ML Classifier,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.06310032976750168,0.9116644400854186,0.08868404845992209,7,6,6,0
ML Classifier,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.09243705696452008,0.9083304099286376,0.05934732126290371,6,5,5,0
ML Classifier,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.0278518459509014,0.9188839609719246,0.12393253227652232,7,7,7,1
ML Classifier,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.11430613884076317,0.901285097387897,0.037478239386660624,4,4,4,0
ML Classifier,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.15317063242596418,0.8969418412489883,-0.0013862541985404306,5,5,5,0
ML Classifier,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.08841773074758691,0.9073205802542257,0.06336664747983688,7,7,7,1
ML Classifier,ml_threshold,ml_logistic_regression_b0.52_s0.40,"{""buy_threshold"":0.52,""model"":""Logistic Regression"",""sell_threshold"":0.4,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.11885646989987053,0.9245375656087118,-0.06316654257770224,8,9,8,1
ML Classifier,ml_threshold,ml_logistic_regression_b0.55_s0.45,"{""buy_threshold"":0.55,""model"":""Logistic Regression"",""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.05568992732216835,0.9082369753046906,0.0,0,0,0,0
ML Classifier,ml_threshold,ml_logistic_regression_b0.60_s0.48,"{""buy_threshold"":0.6,""model"":""Logistic Regression"",""sell_threshold"":0.48,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,0.22744929619275825,0.9979826201934198,0.28313922351492665,9,11,9,1
ML Classifier,ml_threshold,ml_random_forest_b0.52_s0.40,"{""buy_threshold"":0.52,""model"":""Random Forest"",""sell_threshold"":0.4,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.2733506528111104,0.908840462953447,-0.12156627458368646,7,6,6,0
ML Classifier,ml_threshold,ml_random_forest_b0.55_s0.45,"{""buy_threshold"":0.55,""model"":""Random Forest"",""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.1517843782274238,0.8955098117110499,0.0,0,0,0,0
ML Classifier,ml_threshold,ml_random_forest_b0.60_s0.48,"{""buy_threshold"":0.6,""model"":""Random Forest"",""sell_threshold"":0.48,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.04939726054965565,1.1712424946796587,0.10238711767776801,7,7,6,0
ML Classifier,ml_threshold,ml_xgboost_b0.52_s0.40,"{""buy_threshold"":0.52,""model"":""XGBoost"",""sell_threshold"":0.4,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,0.04205555370913208,0.9424489919211865,0.30421956424134355,9,8,8,1
ML Classifier,ml_threshold,ml_xgboost_b0.55_s0.45,"{""buy_threshold"":0.55,""model"":""XGBoost"",""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,-0.2621640105322114,0.9033674981838732,0.0,0,0,0,0
ML Classifier,ml_threshold,ml_xgboost_b0.60_s0.48,"{""buy_threshold"":0.6,""model"":""XGBoost"",""sell_threshold"":0.48,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",4,1.1380878968419754,1.2436720290962031,1.4002519073741868,10,12,10,1
Mini TradingAgents,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7180559092882515,1.1388006216075275,-0.2018104537562081,0,3,0,0
Mini TradingAgents,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.9198663630444595,1.2237841164850674,0.0,0,0,0,0
Mini TradingAgents,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,1.0492170334895294,1.2971941471396768,0.12935067044507004,2,2,2,0
Mini TradingAgents,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7065804037355776,1.1380089646771756,-0.213285959308882,0,2,0,0
Mini TradingAgents,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.9151498306154913,1.2224887491491658,-0.0047165324289682314,0,0,0,0
Mini TradingAgents,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,1.0445005010605612,1.2958832104917315,0.1246341380161018,2,2,2,0
Mini TradingAgents,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7180559092882515,1.1388006216075275,-0.2018104537562081,0,3,0,0
Mini TradingAgents,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.9198663630444595,1.2237841164850674,0.0,0,0,0,0
Mini TradingAgents,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,1.0492170334895294,1.2971941471396768,0.12935067044507004,2,2,2,0
Multi-factor model,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.12375130768002629,1.0021280316890637,0.10166176059010695,6,6,6,1
Multi-factor model,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.022089547089919503,0.9795833757707546,0.0,0,0,0,0
Multi-factor model,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.21464167695046132,1.0181031959029725,0.19255212986054188,10,8,8,1
Multi-factor model,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.12007571861502464,0.9694671233616092,-0.14216526570494387,5,5,5,0
Multi-factor model,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.00016576062087259036,0.9767298261804934,-0.02192378646904669,0,0,0,0
Multi-factor model,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.1926883944853477,1.0151953306306747,0.17059884739542835,10,7,7,1
Multi-factor model,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.12375130768002629,1.0021280316890637,0.10166176059010695,6,6,6,1
Multi-factor model,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.022089547089919503,0.9795833757707546,0.0,0,0,0,0
Multi-factor model,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.21464167695046132,1.0181031959029725,0.19255212986054188,10,8,8,1
Multi-factor model,multifactor_weights,factor_balanced_vol0.20,"{""buy_threshold"":0.35,""flow_weight"":0.3333333333333333,""mean_reversion_weight"":0.3333333333333333,""momentum_weight"":0.3333333333333333,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.2}",4,-0.7473610687463962,0.9358052576309219,-0.7694506158363154,7,8,7,1
Multi-factor model,multifactor_weights,factor_balanced_vol0.35,"{""buy_threshold"":0.35,""flow_weight"":0.3333333333333333,""mean_reversion_weight"":0.3333333333333333,""momentum_weight"":0.3333333333333333,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.35}",4,-0.026181091943483614,0.9945427171029703,-0.048270639033402826,8,8,8,1
Multi-factor model,multifactor_weights,factor_balanced_vol0.50,"{""buy_threshold"":0.35,""flow_weight"":0.3333333333333333,""mean_reversion_weight"":0.3333333333333333,""momentum_weight"":0.3333333333333333,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.5}",4,-0.32593296174990816,0.9236112680336148,-0.34802250883982755,8,9,7,1
Multi-factor model,multifactor_weights,factor_baseline_vol0.20,"{""buy_threshold"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.2}",4,-0.3050977879584815,1.0408342688246381,-0.32718733504840064,10,10,10,2
Multi-factor model,multifactor_weights,factor_baseline_vol0.35,"{""buy_threshold"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.35}",4,0.022089547089919503,0.9795833757707546,0.0,0,0,0,0
Multi-factor model,multifactor_weights,factor_baseline_vol0.50,"{""buy_threshold"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.5}",4,-0.7252980328852279,0.8615166131922173,-0.7473875799751473,5,7,5,0
Multi-factor model,multifactor_weights,factor_flow_vol0.20,"{""buy_threshold"":0.35,""flow_weight"":0.5,""mean_reversion_weight"":0.2,""momentum_weight"":0.3,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.2}",4,0.29509274259877194,1.0472990838842016,0.27300319550885277,9,10,9,2
Multi-factor model,multifactor_weights,factor_flow_vol0.35,"{""buy_threshold"":0.35,""flow_weight"":0.5,""mean_reversion_weight"":0.2,""momentum_weight"":0.3,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.35}",4,-0.5036328191913603,0.9127707133322434,-0.5257223662812796,5,6,5,0
Multi-factor model,multifactor_weights,factor_flow_vol0.50,"{""buy_threshold"":0.35,""flow_weight"":0.5,""mean_reversion_weight"":0.2,""momentum_weight"":0.3,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.5}",4,-0.21496775785015398,0.9513476244658357,-0.23705730494007332,7,8,7,1
Multi-factor model,multifactor_weights,factor_mean_reversion_vol0.20,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.55,""momentum_weight"":0.25,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.2}",4,-0.9171189228183473,0.9720515828047493,-0.9392084699082666,7,7,6,1
Multi-factor model,multifactor_weights,factor_mean_reversion_vol0.35,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.55,""momentum_weight"":0.25,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.35}",4,-0.9059951449180368,0.7792019989787683,-0.928084692007956,5,3,3,0
Multi-factor model,multifactor_weights,factor_mean_reversion_vol0.50,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.55,""momentum_weight"":0.25,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.5}",4,-0.10008138770897526,0.9131500309884482,-0.12217093479889457,6,6,6,0
Multi-factor model,multifactor_weights,factor_momentum_vol0.20,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.25,""momentum_weight"":0.55,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.2}",4,0.8257741891257482,1.212097741174753,0.803684642035829,11,11,11,3
Multi-factor model,multifactor_weights,factor_momentum_vol0.35,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.25,""momentum_weight"":0.55,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.35}",4,0.0687668180683687,0.9644020627930081,0.04667727097844934,9,10,8,1
Multi-factor model,multifactor_weights,factor_momentum_vol0.50,"{""buy_threshold"":0.35,""flow_weight"":0.2,""mean_reversion_weight"":0.25,""momentum_weight"":0.55,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""volatility_weight"":0.5}",4,0.009693016071009919,0.9761329706716597,-0.012396531018909474,8,9,7,1
