strategy,family,config_id,profile,threshold_name,params_json,windows,stable_windows,mean_sharpe,mean_pooled_profit_factor,mean_sharpe_delta_all_cells,cross_window_stable
Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0,-0.5174802823166568,0.9027518120080716,0.0,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,1,0.9198663630445023,1.2237841164850725,1.4373466453611587,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.50_s-0.35,baseline,strict,"{""buy_threshold"":0.5,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,2,1.0663068894263714,1.9807214101027835,1.5837871717430283,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_factor_heavy_b0.20_s-0.15,factor_heavy,default,"{""buy_threshold"":0.2,""factor_weight"":0.55,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.2,""volatility_weight"":0.35}",4,0,-0.4523604350916769,0.9113950435269556,0.06511984722497978,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_factor_heavy_b0.35_s-0.35,factor_heavy,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.55,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.2,""volatility_weight"":0.35}",4,3,1.0074289138004477,1.1220929524672174,1.5249091961171044,True
Mini TradingAgents,mta_team_weights_manager_threshold,mta_factor_heavy_b0.50_s-0.35,factor_heavy,strict,"{""buy_threshold"":0.5,""factor_weight"":0.55,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.2,""volatility_weight"":0.35}",4,1,0.14659297039895047,1.1080971875679524,0.6640732527156072,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_risk_heavy_b0.20_s-0.15,risk_heavy,default,"{""buy_threshold"":0.2,""factor_weight"":0.27,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.3,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,0,-0.7820750292072319,0.875322516445927,-0.2645947468905752,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_risk_heavy_b0.35_s-0.35,risk_heavy,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.27,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.3,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,0,-0.3354974946611384,0.872984873775204,0.18198278765551834,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_risk_heavy_b0.50_s-0.35,risk_heavy,strict,"{""buy_threshold"":0.5,""factor_weight"":0.27,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.3,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,0,-1.2439890356154986,0.8067615747988061,-0.7265087532988417,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_factor_no_risk_b0.20_s-0.15,technical_factor_no_risk,default,"{""buy_threshold"":0.2,""factor_weight"":0.43,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.0,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.42,""volatility_weight"":0.35}",4,2,1.041130635305111,1.1680686662081463,1.5586109176217677,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_factor_no_risk_b0.35_s-0.35,technical_factor_no_risk,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.43,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.0,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.42,""volatility_weight"":0.35}",4,2,0.47847299824708417,1.2142845579826882,0.995953280563741,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_factor_no_risk_b0.50_s-0.35,technical_factor_no_risk,strict,"{""buy_threshold"":0.5,""factor_weight"":0.43,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.0,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.42,""volatility_weight"":0.35}",4,1,1.8164518445660012,2.8019707954578825,2.333932126882658,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_heavy_b0.20_s-0.15,technical_heavy,default,"{""buy_threshold"":0.2,""factor_weight"":0.2,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.55,""volatility_weight"":0.35}",4,3,1.344787351905334,1.2286965671317456,1.8622676342219906,True
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_heavy_b0.35_s-0.35,technical_heavy,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.2,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.55,""volatility_weight"":0.35}",4,1,0.09402012857588843,0.9897688331661794,0.6115004108925453,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_technical_heavy_b0.50_s-0.35,technical_heavy,strict,"{""buy_threshold"":0.5,""factor_weight"":0.2,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.1,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.55,""volatility_weight"":0.35}",4,1,1.3806654436856567,2.751244856252495,1.8981457260023133,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_uniform_b0.20_s-0.15,uniform,default,"{""buy_threshold"":0.2,""factor_weight"":0.28,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.29,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,0,-0.8553283643275655,0.8669920318692002,-0.337848082010909,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_uniform_b0.35_s-0.35,uniform,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.28,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.29,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,1,-0.10082682646039146,0.9160993273643905,0.4166534558562653,False
Mini TradingAgents,mta_team_weights_manager_threshold,mta_uniform_b0.50_s-0.35,uniform,strict,"{""buy_threshold"":0.5,""factor_weight"":0.28,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.29,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.28,""volatility_weight"":0.35}",4,0,-1.1698240393313175,0.8617533604262175,-0.6523437570146609,False
